,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
30,delta xCO2,73,C6H6,14,silicate,21,DEPTH,85,RWInd1-dir,6,REL_WIND_SPEED,431,0.0,0.0,TWD#1,2,RELH,4,Press_EQU_hPa,32,Group,70,0.0,0.0,0.0,0.0,20040202WHPSIOSA,3,Percent_O2,60
31,fCO2_Eq,73,CH3I,14,nitrate,21,H2O,63,depth,6,EXPOCODE,261,0.0,0.0,16,2,LNGY,4,QC_sub_flag,32,Pres_sealevel_mB,70,0.0,0.0,0.0,0.0,20021108WHPSIOdm,3,xCO2_SW_wet,60
32,PHSPHT_FLAG_W,73,CCl4,14,fCO2_water_SST_wet [uatm],21,JULIAN_DATE,62,CO2,6,XCO2_AIR_INTERP,216,0.0,0.0,TWS#3,2,U10,4,Year_Fractional,32,Longitude,70,0.0,0.0,0.0,0.0,20090112PRINUNIVRMKPRINUNIVRMK,3,Licor_Atm_Pressure,60
33,yyyymmdd,73,CH2Br2,14,pCO2_water_SST_wet [uatm],21,TCARBN,57,press,6,JD_GMT,193,0.0,0.0,SMG,2,WARMING,4,LAT_DEC_DEGREE,32,Time,70,0.0,0.0,0.0,0.0,20141205PRINUNIVRMK,3,fCO2_Air_sat,60
34,delta pCO2,73,H1211,14,Longitude [degE],21,SECOND,54,RWind1-sp,6,FCO2_WAT,176,0.0,0.0,CMG,2,EQT,4,LONG_DEC_DEGREE,32,Sal(TSG)_permil,69,0.0,0.0,0.0,0.0,20030219WHPSIOdm,3,xCO2_Air_dry,60
35,xCO2_Eq,73,PCE,14,pCO2_atm_wet_actual [uatm],21,STATION,54,REL-HUM,6,FCO2_WAT_SST,155,0.0,0.0,TWD#3,2,SEA_pCO2_uatm_Tak,4, fCO2_SW@SST_uatm,32,QC_SUBFLAG,63,0.0,0.0,0.0,0.0,20030224WHPSIOdm,3,Licor_Temp,60
36,xCO2_SST,73,CH3Cl,14,Equilibrator Pressure [hPa],21,FCO2_WAT_EQ,51,TWind1-sp,6,WIND_SPEED,149,0.0,0.0,STNID,2,WBT,4,DATE_UTC__mmddyyyy,31,EXPOCODE,31,0.0,0.0,0.0,0.0,20090818MIRCJHATS,3,H2O_AIR,60
37,Flag_p,73,CHBr3,14,wind_dir_true [deg],21,J_DAY,51,Oxygen_Continuous,5,WIND_DIR,134,0.0,0.0,McMurdo Sta Antarctic,2,x(CO2)1013,4,,26,DATE_YYYYMMDD,19,0.0,0.0,0.0,0.0,20100520MIRCJHATS,3,xCO2_Air_QF,60
38,pCO2_SST,73,CH3Br,14,Equilibrator Temperature [degC],21, SSS,51,TAlk (umol/kg),5,FCO2_AIR_INTERP,128,0.0,0.0,TWS#1,2,AIR_XCO2_ppm,4, fCO2_ATM_uatm,21,GAS_FLOW_IR_ML/MIN,19,0.0,0.0,0.0,0.0,20091216PRINUNIVRMK,3,xCO2_SW_dry,60
39,Flag_x,73,HCFC22,14,xCO2_atm_dry_actual [umol/mol],21,MINUTES,50,QC_Flag_PO4,5,QC_FLAG_W,118,0.0,0.0,COG,2,DBT,4,SAL(TSG)_PERMIL,21,TEMP_IR_C,19,0.0,0.0,0.0,0.0,20080605JAMSTEC,3,xCO2_SW_QF,60
